t,x
8063,14
8074,16
8086,21
8098,12
8110,20
8121,29
8133,8
8144,19
8156,34
8168,10
8179,14
8191,25
8203,32
8215,17
8227,8
8238,33
8250,8
8261,28
8273,14
8285,14
8297,36
8309,12
8320,28
8331,15
8343,14
8355,8
8366,14
8377,31
8389,6
8400,10
8411,12
8423,20
8434,14
8446,18
8458,6
8469,22
8481,22
8493,42
8505,22
8516,17
8528,35
8540,32
8551,36
8563,16
8574,9
8585,14
8597,31
8609,6
8620,16
8631,17
8643,26
8654,25
8666,52
8678,18
8690,9
8701,20
8712,8
8723,6
8734,14
8746,38
8758,26
8770,38
8782,21
8793,5
8804,10
8815,20
8826,16
8838,29
8850,10
8861,10
8872,15
8884,31
8896,13
8908,27
8920,13
8932,30
8943,6
8954,18
8966,31
8978,19
8990,26
9002,13
9013,23
9024,7
9035,12
9046,4
9057,16
9069,12
9081,50
9093,17
9105,8
9116,15
9128,24
9140,22
9151,7
9162,13
9174,20
9185,45
9197,24
9209,24
9221,13
9233,22
9245,21
9257,34
9269,35
9281,11
9293,20
9304,24
9316,30
9328,19
9340,28
9351,14
9362,27
9374,13
9386,9
9397,11
9409,6
9420,20
9431,32
9443,18
9455,39
9467,28
9479,10
9490,20
9501,17
9513,17
9525,20
9536,42
9547,19
9559,28
9571,54
9583,23
9595,45
9607,31
9618,11
9630,29
9642,35
9654,24
9666,19
9678,16
9690,23
9702,21
9713,18
9725,55
9737,15
9749,30
9760,20
9771,16
9782,24
9794,34
9806,40
9817,20
9828,42
9840,45
9851,14
9863,26
9875,18
9887,22
9899,28
9911,10
9922,36
9934,16
9946,8
9957,9
9968,11
9980,9
9991,27
10003,15
10015,17
10027,30
10039,14
10051,41
10063,26
10075,40
10087,23
10099,12
10111,8
10122,35
10134,24
10146,26
10158,11
10170,17
10182,17
10194,27
10206,18
10218,22
10230,28
10242,14
10254,33
10266,10
10278,18
10290,13
10302,15
10314,28
10326,23
10338,10
10350,15
10362,23
10374,18
10386,22
10398,16
10410,15
10422,15
10434,40
10446,16
10458,9
10469,4
10481,26
10493,18
10505,13
10517,26
10529,23
10541,18
10553,14
10565,19
10577,46
10589,30
10601,18
10613,20
10625,20
10637,16
10649,12
10661,6
10673,15
10685,10
10697,25
10709,10
10720,31
10732,12
10744,28
10756,24
10768,17
10780,32
10792,27
10804,32
10816,16
10828,19
10840,22
10852,40
10864,14
10876,27
10888,30
10900,12
10912,20
10924,23
10936,22
10948,18
10960,51
10972,20
10984,8
10995,34
11007,9
11018,17
11030,17
11042,11
11054,18
11066,30
11078,12
11090,24
11102,19
11114,22
11126,11
11138,12
11150,16
11162,36
11174,22
11186,42
11198,18
11210,39
11222,4
11234,20
11246,29
11258,56
11270,8
11282,11
11294,26
11306,15
11318,48
11330,16
11342,38
11354,9
11366,9
11378,9
11390,28
11402,15
11414,24
11426,9
11438,10
11450,20
11462,26
11474,16
11486,6
11498,29
11510,30
11522,20
11534,22
11546,12
11558,23
11570,14
11582,16
11594,26
11606,17
11618,16
11630,39
11642,21
11654,31
11666,15
11678,7
11690,56
11702,34
11714,11
11726,9
11738,8
11750,2
11762,9
11774,23
11786,53
11798,7
11810,17
11822,17
11834,33
11846,18
11858,17
11870,14
11882,20
11894,36
11906,22
11918,29
11930,24
11942,18
11954,16
11966,19
11978,10
11990,17
12002,18
12014,56
12026,27
12038,29
12050,35
12062,29
12074,30
12086,16
12098,16
12110,18
12122,16
12134,24
12146,12
12158,35
12170,22
12182,16
12194,20
12206,43
12218,4
12230,25
