t,x
8031,263
8043,136
8055,237
8067,158
8079,111
8091,32
8102,119
8114,195
8126,20
8137,45
8149,42
8161,68
8173,33
8185,94
8197,29
8209,21
8221,136
8233,90
8245,14
8257,33
8269,12
8281,61
8293,8
8304,29
8316,43
8328,8
8339,10
8350,36
8362,13
8374,26
8386,26
8398,24
8410,50
8422,20
8433,33
8445,11
8457,18
8469,830
8481,5042
8493,2990
8505,220
8517,664
8529,542
8541,308
8553,539
8565,14
8577,334
8589,195
8601,67
8613,54
8624,126
8636,120
8648,477
8660,111
8672,46
8684,46
8696,39
8708,56
8720,56
8731,25
8743,26
8755,55
8767,20
8778,31
8790,45
8802,29
8814,22
8826,18
8838,31
8850,34
8861,59
8873,22
8884,11
8896,30
8907,17
8919,24
8931,14
8943,6
8954,28
8966,26
8978,33
8990,29
9002,2917
9014,3955
9026,707
9038,1038
9050,431
9062,54
9073,419
9085,668
9097,204
9109,281
9121,195
9133,13
9145,77
9157,66
9168,30
9180,94
9191,21
9203,134
9215,23
9227,51
9239,46
9251,33
9263,23
9275,48
9287,34
9299,15
9311,33
9323,27
9335,23
9347,21
9359,6
9370,82
9382,25
9394,39
9406,21
9418,14
9429,33
9441,60
9452,54
9464,28
9476,32
9488,60
9499,11
9511,29
9523,31
9535,1701
9547,5638
9560,4019
9572,1422
9584,1168
9596,150
9608,380
9620,596
9632,33
9644,320
9656,186
9668,89
9680,35
9692,75
9704,25
9716,466
9728,60
9740,31
9751,49
9763,63
9775,27
9787,53
9799,48
9811,27
9823,56
9835,22
9846,76
9858,28
9870,14
9881,6
9892,18
9903,62
9915,12
9927,65
9939,10
9950,10
9961,21
9973,54
9985,8
9996,48
10008,26
10020,20
10032,59
10044,18
10056,21
10068,12
10080,25
10092,30
10104,18
10116,26
10128,4
10139,15
10151,32
10163,26
10175,34
10187,23
10199,17
10211,36
10223,48
10235,34
10247,10
10259,14
10271,19
10283,21
10295,30
10307,23
10319,11
10331,24
10343,72
10355,18
10367,11
10379,18
10391,19
10403,14
10415,30
10427,20
10439,23
10451,8
10462,18
10474,17
10486,24
10498,17
10510,38
10522,20
10534,18
10546,14
10558,31
10570,20
10582,25
10594,11
10606,10
10618,9
10630,25
10642,21
10654,17
10666,23
10678,14
10690,4981
10703,4390
10716,1624
10729,900
10741,94
10753,202
10765,548
10777,96
10789,380
10801,260
10813,146
10825,26
10837,157
10849,86
10861,220
10873,124
10885,39
10897,41
10909,37
10921,46
10933,106
10945,27
10957,42
10969,96
10981,15
10993,213
11005,67
11017,14
11029,36
11041,25
11053,32
11065,71
11077,9
11089,16
11101,20
11113,34
11125,19
11137,22
11149,21
11161,40
11173,38
11185,25
11197,10
11209,20
11221,22
11233,12
11245,15
11257,12
11269,29
11281,51
11293,20
11305,18
11317,21
11329,23
11341,29
11353,30
11365,8
11377,29
11389,21
11401,8
11413,32
11425,18
11437,28
11449,18
11461,99
11473,100
11485,159
11497,33
11509,107
11521,98
11533,73
11545,37
11557,17
11569,12
11581,4
11593,6
11605,8
11617,33
11629,25
11641,18
11653,25
11665,54
11677,54
11689,26
11701,12
11713,16
11725,18
11737,17
11749,17
11761,43
11773,19
11785,32
11797,26
11809,10
11821,23
11833,20
11845,24
11857,37
11869,16
11881,14
11893,15
11905,23
11917,10
11929,23
11941,22
11953,28
11965,34
11977,32
11989,19
12001,29
12013,10
12025,21
12037,47
12049,27
12061,42
12073,25
12085,23
12097,22
12109,9
12121,66
12133,17
12145,13
12157,6
12168,23
12180,22
12192,25
12204,14
12216,21
12228,10
12240,39
12252,45
12264,47
12276,18
12288,50
12300,18
12312,40
12324,68
12336,20
12348,39
12360,33
12372,79
12384,40
12396,27
