t,x
8060,9
8071,26
8082,32
8093,26
8104,14
8115,13
8127,20
8139,10
8150,10
8161,7
8172,28
8184,23
8196,9
8207,8
8218,847
8230,4130
8242,618
8254,906
8266,305
8278,351
8290,440
8302,446
8314,25
8326,67
8338,64
8349,150
8361,112
8373,71
8385,10
8397,22
8409,44
8420,22
8431,46
8443,32
8455,40
8467,36
8479,27
8491,20
8502,18
8514,16
8526,31
8538,12
8550,11
8561,23
8573,16
8584,19
8596,36
8608,12
8619,7
8630,34
8642,20
8654,24
8666,7
8677,19
8689,18
8701,24
8713,20
8724,13
8736,16
8748,22
8759,12
8771,12
8783,6
8794,27
8806,14
8818,11
8829,19
8841,22
8853,19
8865,18
8877,606
8889,2609
8901,1008
8913,1727
8925,235
8937,119
8949,550
8961,423
8973,19
8985,95
8997,52
9009,78
9020,92
9031,24
9043,25
9055,18
9066,36
9077,56
9088,61
9099,32
9110,44
9121,68
9133,34
9145,50
9157,19
9169,14
9181,41
9193,29
9205,22
9216,16
9227,20
9238,11
9250,41
9261,12
9273,26
9285,14
9297,19
9309,14
9321,20
9332,38
9343,12
9355,15
9367,38
9379,12
9390,12
9402,32
9413,20
9425,47
9437,16
9449,18
9461,12
9473,11
9485,26
9497,40
9508,23
9520,11
9532,17
9544,1370
9556,1970
9568,811
9580,3317
9592,1108
9604,249
9616,301
9628,222
9640,68
9652,44
9664,171
9676,137
9688,40
9699,36
9711,60
9722,60
9734,15
9746,54
9758,25
9770,36
9782,41
9794,24
9806,30
9817,20
9828,58
9840,48
9852,17
9864,17
9876,35
9888,5
9899,25
9911,33
9923,27
9935,12
9946,20
9958,9
9969,24
9981,30
9993,12
10005,31
10017,19
10029,14
10041,12
10053,36
10065,14
10077,6
10088,10
10100,29
10112,20
10124,14
10136,8
10148,20
10160,571
10172,1976
10185,1610
10198,369
10210,403
10222,439
10234,150
10246,95
10258,146
10270,335
10282,45
10294,11
10306,59
10318,92
10330,56
10342,120
10354,16
10366,10
10378,12
10390,39
10402,28
10414,34
10426,25
10438,41
10450,21
10462,7
10473,24
10485,32
10497,6
10508,23
10520,20
10532,52
10544,15
10556,30
10568,16
10580,22
10592,17
10604,17
10616,20
10628,14
10640,20
10652,29
10664,18
10676,15
10688,6
10700,23
10712,15
10724,29
10736,6
10748,27
10760,15
10772,32
10784,14
10796,707
10808,1483
10820,445
10832,928
10844,211
10856,82
10868,564
10880,391
10892,12
10904,38
10916,28
10928,124
10940,94
10952,80
10964,20
10976,23
10988,88
11000,16
11012,38
11024,10
11036,31
11048,36
11060,20
11072,44
11084,27
11096,49
11108,14
11120,36
11132,15
11144,9
11156,32
11168,42
11180,17
11192,25
11204,14
11216,24
11228,16
11240,22
11252,10
11264,21
11276,31
11288,9
11300,6
11311,11
11323,24
11335,20
11347,19
11359,35
11371,10
11383,36
11395,26
11407,14
11419,13
11431,515
11443,2007
11456,1049
11469,494
11481,370
11493,72
11505,96
11517,171
11529,56
11541,18
11553,135
11565,123
11577,55
11589,24
11601,12
11613,61
11625,54
11637,16
11649,16
11661,30
11673,22
11685,36
11697,17
11709,14
11721,14
11733,32
11745,19
11757,38
11769,23
11781,12
11793,38
11805,20
11817,30
11829,18
11841,10
11853,35
11865,22
11877,23
11889,30
11901,17
11913,18
11925,25
11937,13
11949,16
11961,46
11973,36
11985,4
11997,22
12009,15
12021,12
12033,22
12045,20
12057,1837
12070,2555
12083,855
12095,3624
12108,573
12120,244
12132,421
12144,302
12156,89
12168,31
12180,200
12192,141
12204,60
12216,77
12228,40
12240,93
12252,55
12264,16
12276,43
12288,27
12300,13
12312,34
12324,44
